| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/CglibProxySource.java:42:39:42:57                     |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/JdkProxySource.java:41:12:41:25                       |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/JdkProxySource.java:68:39:68:57                       |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/ProxiedKeyedObjectPool.java:44:12:44:33               |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/ProxiedKeyedObjectPool.java:111:39:111:57             |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/ProxiedObjectPool.java:43:12:43:28                    |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/main/java/org/apache/commons/pool2/proxy/ProxiedObjectPool.java:98:39:98:57                    |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:31:12:31:21                                 |    0 |      |
| new StringBuilder(...)                               | StringBuilder()                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/MethodCall.java:128:34:128:52                               |    0 |      |
| new ArrayList<MethodCall>(...)                       | ArrayList<MethodCall>()                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:29:50:29:66            |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/MethodCallPoolableObjectFactory.java:28:14:28:44            |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:23:14:23:21                                   |    0 |      |
| super(...)                                           | Object()                                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-pool/src/test/java/org/apache/commons/pool2/PoolTest.java:24:26:24:28                                   |    0 |      |
